Application,CASB Name,Name
adobe,app,adobe-app
adobe,manage-account,adobe-manage-account
adobe,login,adobe-login
adobe-acrobat,download-file,adobe-acrobat-download-file
adobe-acrobat,app,adobe-acrobat-app
adobe-acrobat,convert-export-file,adobe-acrobat-convert-export-file
adobe-acrobat,share-file,adobe-acrobat-share-file
adobe-acrobat,create-upload-file,adobe-acrobat-create-upload-file
adobe-acrobat,open-file,adobe-acrobat-open-file
adobe-acrobat,access-documents,adobe-acrobat-access-documents
adobe-acrobat,delete-file,adobe-acrobat-delete-file
adobe-creativecloud,modify-file,adobe-creativecloud-modify-file
adobe-creativecloud,access-files,adobe-creativecloud-access-files
adobe-creativecloud,app,adobe-creativecloud-app
adp,app,adp-app
adp,login,adp-login
adp-workforcenow,tax-withholdings,adp-workforcenow-tax-withholdings
adp-workforcenow,payment-options,adp-workforcenow-payment-options
adp-workforcenow,app,adp-workforcenow-app
adp-workforcenow,profile,adp-workforcenow-profile
adp-workforcenow,pay-tax-statements,adp-workforcenow-pay-tax-statements
apple,login,apple-login
apple,app,apple-app
apple-icloud,app,apple-icloud-app
apple-icloud,access-mail,apple-icloud-access-mail
apple-icloud,access-drive,apple-icloud-access-drive
apple-icloud,access-photo,apple-icloud-access-photo
apple-icloud,access-calendar,apple-icloud-access-calendar
apple-icloud,access-contact,apple-icloud-access-contact
atlassian,app,atlassian-app
atlassian,login,atlassian-login
box,share-link-note,box-share-link-note
box,rename,box-rename
box,sync,box-sync
box,delete-collection,box-delete-collection
box,copy,box-copy
box,login,box-login
box,download-file,box-download-file
box,unsync,box-unsync
box,share-link,box-share-link
box,create-collection,box-create-collection
box,remove-app,box-remove-app
box,rename-canvas,box-rename-canvas
box,create-comment-note,box-create-comment-note
box,invite-collaborator,box-invite-collaborator
box,create-note,box-create-note
box,upload-file,box-upload-file
box,invite-edit-note,box-invite-edit-note
box,create-canvas,box-create-canvas
box,lock,box-lock
box,sign,box-sign
box,create-collection-note,box-create-collection-note
box,upload-folder,box-upload-folder
box,add-app,box-add-app
box,delete-note,box-delete-note
box,move,box-move
box,rename-collection,box-rename-collection
box,delete-forever,box-delete-forever
box,move-note,box-move-note
box,app,box-app
box,copy-note,box-copy-note
box,restore-file-folder,box-restore-file-folder
box,create-folder,box-create-folder
box,download-folder,box-download-folder
box,delete-file-folder,box-delete-file-folder
box,delete-comment-note,box-delete-comment-note
box,create-file,box-create-file
box,search,box-search
box,unlock,box-unlock
